Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
Ursus Jusfex,977851,415,3.13,8.5,4887,14004,37672
Magɨc,180764,51,1.35,2.8,1836,2415,7363
CANNIBAL Z1G4,1013990,187,1.88,2.4,7649,14036,41519
Pree,969792,430,2.64,6.5,6629,16357,32944
kaivy-,752979,88,1.56,1.8,4899,7486,29675
Zano Pep,1676305,484,2.23,3.4,14428,31067,61160
Jehda,1459487,307,1.47,2,15201,21855,59481
Twitch NOTTREVE,1345692,131,1.33,1.5,8663,11363,56235
Just Aqua,499089,206,1.57,8.2,2503,3606,19729
SadLithium 父,1003567,366,1.42,10.1,3606,4585,41517
TRS Topher Léon,990642,141,1.28,1.9,7608,9550,40606
SRN Skydeun,1285293,435,3.83,7.9,5507,19410,44405
ᵀᶠBrᴀfᴀwn〆,1041910,79,0.92,1.3,6185,5631,50289
Coyootee_gr,876963,53,0.79,0.7,7557,5922,36950
Rikudo.,737420,88,1.46,0.9,9426,13590,29760
YT Rustem Koci,2319505,170,1.12,1.1,15504,17123,100790
exeed Ragez7,1265304,969,2.54,9.2,10534,24305,50339
Twitch Snuxfps,1455977,321,1.39,3.9,8147,10867,61353
Steak loves Lau,438526,50,1.42,1.6,3128,4365,17657
YTRubberduck,170614,6,0.3,0.6,1001,301,8505
TrevorAhrensTTV,2843451,44,0.2,0.3,17444,3435,179134
ItsLimitless,438910,254,1.94,8.4,3030,5375,17656
ӝFishyӝ,756470,246,1.19,2.7,9143,10606,30514
Invictus Stojke.,1263098,331,1.72,3.8,8639,14254,51561
Cоde x2Twins,757477,452,5.06,14.6,3103,13408,25740
ttvPastorantoine,1304158,147,1.3,1.7,8832,11328,59009
LucasAriiel,966502,145,1.24,3.6,4072,4858,41828
Kubuś on Drugsツ,1538515,103,0.76,0.9,11736,8815,70360
Elite Jivi,1184362,501,2.7,9.4,5319,13024,46695
ʀɢʟᴜ,668496,107,1.25,1.8,6038,7437,28945
BasCB,669724,295,2.41,9.6,3066,6665,26887
Lé Petit Muniir,627185,158,1.24,1.4,11488,14014,26480
Chulo-33,277968,29,1.33,1.8,1632,2136,11007
Maxííí,1528665,352,1.29,2.7,13016,16310,62499
SW_Ge0Mike,2164911,858,1.35,9.6,8934,10939,88768
r3x4k0,509374,47,0.87,1.9,2488,2133,22351
Simply Swanky,413995,33,0.92,1,3363,3059,18861
jwfΨ,780390,225,2.16,6.8,3321,6683,30005
T-REKTHØS,44853,9,0.87,1.1,831,715,1936
Tfx R3HAN,934998,317,2.19,6.2,5094,10465,35762
DonNagato,1145854,148,1.52,1.8,8084,12089,42006
PT_TURTOR,626604,253,1.84,5.9,4322,7498,24073
FaZe ClipΖ,1595163,439,2.08,2.7,16214,32844,69146
アordy ϟ,398075,36,1.02,1.1,3336,3363,16987
CӇAPU,1245541,329,1.83,3.4,9693,17103,45628
davidsb123,56115,1,0.84,0.2,468,394,2631
κιlled βγ αlρhα,1056914,143,1.22,1.7,8391,10095,45883
mcKarlus,100047,8,0.95,0.4,1961,1853,4231
Twitch SweatBall,1563342,225,1.94,2.5,8876,16805,62828
weem ヅ,877851,204,1.65,4.3,4796,7598,37133
DoorKey on OF,386715,72,1.11,2.8,2563,2776,17217
LIDEČKOVJAN PIČO,147862,10,1.2,0.7,1408,1678,5898
SticksIsHard,420034,59,1.69,2.7,2211,3634,16486
ᵗᵗᵛ ArgueraSV ʸᵗ,2097660,579,2.7,3.6,16056,41854,72145
HurricaneJoe2019,888427,244,0.68,8.4,2914,1806,41934
SquirtleLive,1088052,139,1.59,1.8,7926,12414,45829
Tibo544,885903,214,1.49,3.2,6611,9561,33794
DomenSS,1148453,249,1.43,3.4,7295,10068,49236
わいのショットガンは３０ダメージ,125116,52,2.29,5.1,1023,2224,4360
P R Λ X,1153126,273,2.02,3.5,7739,15118,43085
ᵀʷⁱᵗᶜʰRippersan,138999,23,1.35,1.6,1398,1860,5773
Codigo Drogo,475390,123,1.37,2.5,4939,6580,17250
fknLEGIT,753813,136,1.42,2.5,5337,7378,33835
GE D4m ӝ,1003931,331,2,4.2,7969,15307,36780
メHawks,667407,213,2.24,6.5,3294,6896,23413
ricardincanayin,864196,96,1.35,1.6,6055,8062,34527
GeeCBee,432733,83,1.49,3,2795,4038,20253
herobiscuit,347254,25,1.24,0.6,4391,5414,12688
Noel Brabo do AM,1939733,558,1.74,3.8,14770,24748,80479
ouver 67,1035891,377,2.65,6.1,6179,15389,40159
FireDrâgon,2646552,447,1.6,2.4,18435,28780,105512
khaznajebemajke,1780081,116,1.73,0.8,14862,25485,67071
VVL Nando,899101,119,1.77,2.8,4313,7441,35176
elreydelmundo92,555477,72,1.01,1,7420,7446,23454
노아 aka Noah,1941094,289,1.7,2.2,13073,21763,76751
Swingin-Wood,1230990,150,1.04,2.9,5181,5223,55104
AOS nebs,1274214,307,2.93,4.2,7261,20371,44412
LG Joji,1031778,394,3.5,7.7,5118,16531,37946
ConnectionSuxs,3224234,751,0.94,5.5,13705,12234,144146
RFX_Lox,787823,149,1.5,2.9,5118,7434,35359
Twitch Ceyrrox,1371975,489,1.22,6.7,7337,8381,60136
al hamdullah,994064,133,1.78,1.3,10387,18235,36845
Javi-Burgos,195279,22,0.58,1.8,1217,699,9732
CG Cryptic,1639490,252,1.61,1.9,13501,21271,72909
Faquı,1293986,548,3.65,11.8,4635,14937,46035
Sartori meu freg,1266689,198,1.61,1.4,14060,22334,50481
Dark is Gucci,543691,284,2.73,7.9,3583,9013,19839
DaNya ау лол ӝ,762454,80,1.51,1.6,5133,7618,31133
semisoft25inch,2054000,934,1.17,10.7,8697,9072,87210
bushinhö,1514657,194,1.03,2.2,8758,8850,67521
im bloom,106294,26,2.03,3.5,736,1440,4470
Twitch kaOzs_,803918,396,3.42,13.2,3001,8911,27375
slxyher,603939,310,1.69,5.1,6035,9679,20545
RD-Antony,747295,71,1.1,1.9,3763,4048,31147
O-HO-HO-HOǃ,1378689,161,1.68,2.3,7105,11661,57572
