Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
Lίquid mίtr0,2500936,816,3.75,5.5,14758,52215,78842
SP7_Sepo,982265,83,0.73,1.2,7115,5165,43158
give me pasta,3795141,4486,5.91,44.1,10166,33570,131118
LaLaLa Lowla,49634,16,1.45,1.7,946,1348,2030
Last_Samurai_10,875340,61,0.67,0.6,10617,7047,38801
S3Saint,194761,22,0.92,1.6,1400,1263,8436
TTV UntamedFN,1942580,1486,4.15,27,5496,16653,66278
Mahou_Twitch,2345511,225,1.27,1.3,16726,21004,108328
Doϲtor,187571,25,1.38,1.7,1435,1945,7229
OVA Flyy,1201819,396,2.86,6.2,6352,17012,45483
VALtheVAL,2126475,840,2.23,7.8,10781,22153,77947
semm1234,1741430,3454,6.95,22.1,15635,84716,48248
Slowly Not Back,3495641,2201,3.21,19,11565,30073,121626
lalana043,98950,12,1.11,1.7,702,766,4080
claystehling,1530245,588,1.85,5.1,11480,20163,58107
6GAMEOVER9 何,583939,135,1.3,2.4,5531,7023,27784
twitch_ruiziNNN,1119339,60,1.23,0.7,9127,11184,44983
CloudCatzz,3352623,325,0.55,1.4,22599,12148,157472
SaDD_SharukhYT,1063187,365,1.65,5.2,7040,11026,39354
toneyssj,2886984,1103,2.54,8.2,13412,31211,108988
Twitch TƑreire,1321578,1073,3.39,9.9,10885,33234,46510
Newcloak,3160684,168,0.65,0.7,22427,14430,149675
47_shadow,634348,135,1.88,4.3,3134,5639,24645
Twitch Laterree,1315127,178,1.59,1.6,10907,17050,52152
MӨПΣY,805968,54,0.75,1,5292,3911,37143
B.GoD_AsK,1533669,220,1.03,1.8,12299,12486,68063
SSOJ-User,1117027,51,0.82,0.6,8965,7310,49871
Shadowslyrcat,610661,127,1.43,3,4178,5808,25150
FB_Moose,239121,72,1.21,6.8,1063,1197,10097
Blaze Zzzz,515121,95,1.24,1.6,6090,7434,20045
VitunAuti041ツ,51454,13,1.41,7.1,182,238,2307
SIMP De Yizuz,1591815,549,2.68,6.3,8774,22047,52731
KOBRA-BG,1004664,265,1.2,6.7,3963,4440,43953
Clasѕy,514371,273,3.32,11.9,2293,6716,16723
PEROALIENX,1982950,85,1.15,0.4,19167,21986,81499
SypherPK,2104455,4115,7.16,28.5,14436,73948,65186
PWA -KiLLUmiNaTI,1990137,153,0.89,1,14574,12793,89194
INFOWARS 2021,2105095,245,0.98,3.1,8000,7623,90858
milanko11,112710,11,0.96,2.1,532,498,4966
BarbieTown,119546,9,0.5,0.9,973,485,6079
Sherwood-,570096,130,2.29,6.2,2105,4513,21748
paralen01,387866,42,0.94,1.5,2734,2530,16332
PSEUDOVULGAIRE,459393,77,1.57,3.7,2106,3183,18856
YT Corran Drake,1839816,221,1.07,1.7,13355,14118,78821
Lucky_LLukK,478549,134,1.49,7.8,1709,2344,20761
ᴹᶠᴳ Hogsmeade,307367,84,2.24,4.4,1916,4101,10122
Bot_TexasTim,369398,23,0.52,0.3,7972,4144,16326
poppingHasan,2317889,854,1.65,6.5,13066,20095,94790
BoiseBalla,1104406,482,2.58,7.7,6258,14903,40963
Shahri25,1623796,495,1.3,3.8,12987,16187,64572
Mesmeress 74,1848065,253,1.56,2,12823,19583,73055
Sol1101,4172204,195,0.67,0.8,24785,16510,186168
WinterHaven,695407,139,0.72,3,4567,3204,30545
Twitch Activas,443803,84,1.86,3.5,2398,4311,16454
Scentiic,1981283,216,1.2,1.1,19329,22921,85076
RS ツRAYZU on FBツ,1593086,317,1.08,3.8,8268,8584,67283
THE_CONTRACTOR,620753,17,0.68,0.3,6727,4563,28324
12am Padster,1972268,946,2.73,13.1,7235,17164,68353
Putsiez ӝ,2142163,467,1.92,3.1,15262,28370,90246
Sinner YT,1437778,54,0.94,0.6,9428,8845,64021
Bob Lazar Area51,3102346,1747,2.7,14.7,11920,27439,120224
Dr_Krashツ,607940,58,1.05,1.6,3631,3755,27883
Kronik On FB.,837661,342,2.91,10.8,3167,8222,28938
Azeroth2100,949070,135,1.5,2.2,6182,9096,34481
FIR-TorTuGniaL-,458405,28,1.1,1.1,2476,2705,20043
Thomshot,938569,292,2.12,4.3,6827,13845,36572
Pup-pi,441740,197,2.11,12.5,1571,2903,18194
Znojmius CZ,1122853,94,1.07,1.6,5862,6195,48003
ᵀʷᶦᵗᶜʰFURLANZERA,496094,66,1.53,2.2,3068,4599,18982
Twitchlvadriana,148885,14,0.49,1,1363,661,6890
Aɱιԃαɱαɾυ,918782,147,1.71,2.6,5728,9546,34460
CrabStik,537510,48,1.19,0.9,5452,6421,21954
Blaze_Rav3nkillz,2836031,554,1.13,5.8,9596,10243,123082
ZEVEHㅤ,1176306,719,3.47,14.2,5080,15152,41508
Muppetlogic,1444068,141,1.29,1.9,7497,9472,59487
Ziximous,1064986,117,1.3,1.5,7731,9881,44625
Banu-13Hz-,1631362,194,1.12,1.9,10264,11312,69155
fayxeq,1504362,183,1.62,1.9,9617,15312,61765
exeed RekinClown,1553736,575,2.81,5.6,10188,26966,61799
Gughi black eye,115333,28,0.82,2.1,1319,1053,5377
itsbloodymarie,1226656,216,1.04,2.3,9503,9649,52188
ttv Mochiii_x,14178,4,1.05,3.8,104,105,592
Haze-Dubby ॐ,129618,27,0.96,1.3,2043,1943,5306
HGS C4_Astrofyke,1385310,246,1.65,3.3,7475,11935,61094
SlamFPS,38667,10,2.14,4.5,223,456,1518
SpArTaNXx45,1596293,80,0.73,0.7,11086,8087,75631
ᴛʜᴇ ŁØŘĐ,382127,44,0.75,1.2,3618,2684,17669
Winthern,1484419,498,1.68,4.1,12283,19763,60162
dEAABLESS,4001852,5034,2.71,31.6,15916,29533,152113
Ѕmaсks,109735,186,3.11,9.5,1952,5484,4227
TheJazzmanCometh,3363807,91,1.08,0.4,25679,27640,135682
Alee10ツ,712013,58,0.73,0.8,7260,5258,33752
ᵗʷⁱᵗᶜʰStasonBobo,684675,147,1.82,3.3,4488,7922,25891
JarvoxTv,826560,93,1.24,2.2,4160,5049,35321
DPChew.,1569614,1204,4.2,13.9,8670,31343,60551
SimplyÃℓeχaиdrØs,224481,34,1.04,2,1738,1765,9662
CSE Talmo,2241446,831,2.91,7.9,10468,28066,90068
Tῳizzy,20565,1,0.55,0.8,121,66,1013
The Ecuasian,245207,28,0.83,1.7,1650,1347,11219
RAМPAGE88,1426115,1256,6.12,25.5,4935,22515,40503
independent bam,1379818,278,1.9,3.8,7304,13329,51904
xCrystalShip,315868,23,0.4,0.8,2789,1104,16586
Prince Strap,315184,375,4.21,15.4,2435,8665,10311
ӀmVolt,3237959,1366,2.96,8.8,15450,41652,102412
KUREN 王,1915270,938,6.35,16.9,5536,29194,60578
YoSnn,630835,124,1.19,3.4,3688,4226,25906
XSET Shark,2196148,1393,4.29,13.4,10357,38443,76202
NOTʲᶜ ˡᶦᵐᶦᵗˡᵉˢˢﾂ,878915,64,1.1,1.3,5103,5564,36841
liquid bugha 우,2642205,935,2.71,7.1,13221,33335,84584
unikornpiss,69249,13,0.84,1,1276,1066,3102
Twitch Poison,1120241,479,2.55,10.2,4687,10739,40170
yunyache32,1289716,637,5.1,14.4,4417,19284,43928
Sandus_2k,1266567,560,2.55,6.9,8110,19220,51429
DammitJess,184664,21,0.83,1,2126,1738,8026
AQT Rinoツ,291229,50,1.52,3.1,1619,2390,11828
The-Mafia,863388,168,0.65,3.9,4299,2691,38682
ɐʌɐʞ uo sʎɐqʎuun,8986,64,2.91,7.2,894,2413,295
Youtubeوزيرالايم,2683922,1574,2.5,14.3,10993,23545,98186
ToffieFeeTV,907001,63,1.09,1.2,5415,5844,40838
BeRKeRx,370384,112,1.63,2.2,5011,7982,14408
diecohdeuS,689495,302,2.38,7,4329,9593,29651
iam samael,1580427,220,1,1.5,14308,14147,70029
MIHMARTIN19,1965103,246,0.9,3.2,7605,6637,88459
sammy494,312746,83,0.88,2.3,3600,3091,13277
Bolji igrac.,927270,226,1.18,3.9,5816,6602,39528
丂卩丨Ѳ几乇匚Ҝ,634965,117,1.32,3.2,3667,4696,25176
蛇 Shun 様,704482,239,1.52,5.7,4188,6017,28961
2mro_,652356,129,1.28,3.8,3437,4250,28621
Hu_lee_guns,1133837,180,1.29,3.4,5333,6642,47087
Daven ツ,1298068,706,3.28,10.1,6990,20635,45500
Yermoermo,534864,138,1.92,4,3443,6360,22632
